"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","posicion"
"1","#ClarinTieneBonos","http://twitter.com/search?q=%23ClarinTieneBonos",NA,"%23ClarinTieneBonos",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,1
"2","#SexoVirtual","http://twitter.com/search?q=%23SexoVirtual",NA,"%23SexoVirtual",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,2
"3","#DemiLovatoIsOverParty","http://twitter.com/search?q=%23DemiLovatoIsOverParty",NA,"%23DemiLovatoIsOverParty",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,3
"4","#LarretaDictador","http://twitter.com/search?q=%23LarretaDictador",NA,"%23LarretaDictador",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,4
"5","#LosRicosNoQuierenPagar","http://twitter.com/search?q=%23LosRicosNoQuierenPagar",NA,"%23LosRicosNoQuierenPagar",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,5
"6","Guille Aquino","http://twitter.com/search?q=%22Guille+Aquino%22",NA,"%22Guille+Aquino%22",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,6
"7","Nicky Jam","http://twitter.com/search?q=%22Nicky+Jam%22",NA,"%22Nicky+Jam%22",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,7
"8","Crescenti","http://twitter.com/search?q=Crescenti",NA,"Crescenti",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,8
"9","María Elena","http://twitter.com/search?q=%22Mar%C3%ADa+Elena%22",NA,"%22Mar%C3%ADa+Elena%22",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,9
"10","Neville","http://twitter.com/search?q=Neville",NA,"Neville",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,10
"11","STREAM NO CORRESPONDIDO","http://twitter.com/search?q=%22STREAM+NO+CORRESPONDIDO%22",NA,"%22STREAM+NO+CORRESPONDIDO%22",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,11
"12","Mario Pereyra","http://twitter.com/search?q=%22Mario+Pereyra%22",NA,"%22Mario+Pereyra%22",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,12
"13","Yandel","http://twitter.com/search?q=Yandel",NA,"Yandel",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,13
"14","Amalia","http://twitter.com/search?q=Amalia",NA,"Amalia",NA,"Argentina",23424747,2020-04-18 01:03:17,2020-04-18 00:59:04,14
