"","trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at","time","date","posicion"
"1","#LeyMicaela","http://twitter.com/search?q=%23LeyMicaela",NA,"%23LeyMicaela",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,1
"2","#LosCaradurasDeSiempre","http://twitter.com/search?q=%23LosCaradurasDeSiempre",NA,"%23LosCaradurasDeSiempre",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,2
"3","#7Mamertos","http://twitter.com/search?q=%237Mamertos",NA,"%237Mamertos",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,3
"4","ashley","http://twitter.com/search?q=ashley",NA,"ashley",81723,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,4
"5","#SalvarVidasEsPrioridad","http://twitter.com/search?q=%23SalvarVidasEsPrioridad",NA,"%23SalvarVidasEsPrioridad",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,5
"6","#7MContraElGobierno","http://twitter.com/search?q=%237MContraElGobierno",NA,"%237MContraElGobierno",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,6
"7","Big Soto","http://twitter.com/search?q=%22Big+Soto%22",NA,"%22Big+Soto%22",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,7
"8","Calleri","http://twitter.com/search?q=Calleri",NA,"Calleri",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,8
"9","Trinche Carlovich","http://twitter.com/search?q=%22Trinche+Carlovich%22",NA,"%22Trinche+Carlovich%22",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,9
"10","Boateng","http://twitter.com/search?q=Boateng",NA,"Boateng",27084,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,10
"11","Ni Harry Potter","http://twitter.com/search?q=%22Ni+Harry+Potter%22",NA,"%22Ni+Harry+Potter%22",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,11
"12","HUERFANAS PICO Y PALA","http://twitter.com/search?q=%22HUERFANAS+PICO+Y+PALA%22",NA,"%22HUERFANAS+PICO+Y+PALA%22",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,12
"13","CANDAN ECHA FUEGO","http://twitter.com/search?q=%22CANDAN+ECHA+FUEGO%22",NA,"%22CANDAN+ECHA+FUEGO%22",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,13
"14","Kraftwerk","http://twitter.com/search?q=Kraftwerk",NA,"Kraftwerk",73363,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,14
"15","Jonghyun","http://twitter.com/search?q=Jonghyun",NA,"Jonghyun",64136,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,15
"16","Portu","http://twitter.com/search?q=Portu",NA,"Portu",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,16
"17","tori","http://twitter.com/search?q=tori",NA,"tori",70456,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,17
"18","Emmanuel Taub","http://twitter.com/search?q=%22Emmanuel+Taub%22",NA,"%22Emmanuel+Taub%22",NA,"Argentina",23424747,2020-05-06 23:03:26,2020-05-06 22:58:36,2020-05-06 20:03:24,2020-05-06,18
